Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Proj,StDev
RB,Calvin Tyler Jr. (28792561),Calvin Tyler Jr.,28792561,RB/FLEX,4000,CIN@CLE 09/10/2023 01:00PM ET,CIN,0,0,0
QB,Reid Sinnett (29001012),Reid Sinnett,29001012,QB,4000,CIN@CLE 09/10/2023 01:00PM ET,CIN,0,0,0
RB,Jordan Wilkins (29001044),Jordan Wilkins,29001044,RB/FLEX,4000,CIN@CLE 09/10/2023 01:00PM ET,CLE,3.68,0,0
QB,Nathan Rourke (28792258),Nathan Rourke,28792258,QB,4000,JAX@IND 09/10/2023 01:00PM ET,JAX,0,0,0
QB,Sam Ehlinger (28792259),Sam Ehlinger,28792259,QB,4000,JAX@IND 09/10/2023 01:00PM ET,IND,9.9,0,0
RB,Jason Huntley (28792505),Jason Huntley,28792505,RB/FLEX,4000,JAX@IND 09/10/2023 01:00PM ET,IND,0,0,0
RB,D'Ernest Johnson (28792537),D'Ernest Johnson,28792537,RB/FLEX,4000,JAX@IND 09/10/2023 01:00PM ET,JAX,0.36,0.312,4.12
RB,Snoop Conner (28792539),Snoop Conner,28792539,RB/FLEX,4000,JAX@IND 09/10/2023 01:00PM ET,JAX,1.13,0,0
RB,Derek Parish (28792543),Derek Parish,28792543,RB/FLEX,4000,JAX@IND 09/10/2023 01:00PM ET,JAX,0,0,0
RB,Evan Hull (28792545),Evan Hull,28792545,RB/FLEX,4000,JAX@IND 09/10/2023 01:00PM ET,IND,0,2.695,3.56
RB,Jake Funk (28792547),Jake Funk,28792547,RB/FLEX,4000,JAX@IND 09/10/2023 01:00PM ET,IND,0,0.384,2.315
RB,Kenyan Drake (29001020),Kenyan Drake,29001020,RB/FLEX,4000,JAX@IND 09/10/2023 01:00PM ET,IND,8.92,0,0
QB,John Wolford (28792256),John Wolford,28792256,QB,4000,TB@MIN 09/10/2023 01:00PM ET,TB,6.27,0,0
QB,Jaren Hall (28792257),Jaren Hall,28792257,QB,4000,TB@MIN 09/10/2023 01:00PM ET,MIN,0,0,0
RB,Myles Gaskin (28792437),Myles Gaskin,28792437,RB/FLEX,4000,TB@MIN 09/10/2023 01:00PM ET,MIN,2.35,2.457,1.895
RB,Patrick Laird (28792525),Patrick Laird,28792525,RB/FLEX,4000,TB@MIN 09/10/2023 01:00PM ET,TB,0,0,0
RB,Ronnie Brown (28792527),Ronnie Brown,28792527,RB/FLEX,4000,TB@MIN 09/10/2023 01:00PM ET,TB,0,0,0
RB,Kene Nwangwu (28792529),Kene Nwangwu,28792529,RB/FLEX,4000,TB@MIN 09/10/2023 01:00PM ET,MIN,0.64,0.16,0
RB,DeWayne McBride (28792531),DeWayne McBride,28792531,RB/FLEX,4000,TB@MIN 09/10/2023 01:00PM ET,MIN,0,0,0
RB,Zach Ojile (28792533),Zach Ojile,28792533,RB/FLEX,4000,TB@MIN 09/10/2023 01:00PM ET,MIN,0,0,0
RB,C.J. Ham (28792535),C.J. Ham,28792535,RB/FLEX,4000,TB@MIN 09/10/2023 01:00PM ET,MIN,1.74,0.3,0
RB,Abram Smith (29001042),Abram Smith,29001042,RB/FLEX,4000,TB@MIN 09/10/2023 01:00PM ET,MIN,0,0,0
QB,Jordan Ta'amu (29095807),Jordan Ta'amu,29095807,QB,4000,TB@MIN 09/10/2023 01:00PM ET,MIN,0,0,0
RB,Aaron Dykes (29095816),Aaron Dykes,29095816,RB/FLEX,4000,TB@MIN 09/10/2023 01:00PM ET,MIN,0,0,0
QB,Jake Haener (28792254),Jake Haener,28792254,QB,4000,TEN@NO 09/10/2023 01:00PM ET,NO,0,0,0
QB,Malik Willis (28792255),Malik Willis,28792255,QB,4000,TEN@NO 09/10/2023 01:00PM ET,TEN,3.04,0,0
RB,Eno Benjamin (28792513),Eno Benjamin,28792513,RB/FLEX,4000,TEN@NO 09/10/2023 01:00PM ET,NO,5.97,0,0
RB,Ellis Merriweather (28792515),Ellis Merriweather,28792515,RB/FLEX,4000,TEN@NO 09/10/2023 01:00PM ET,NO,0,0,0
RB,Jake Bargas (28792517),Jake Bargas,28792517,RB/FLEX,4000,TEN@NO 09/10/2023 01:00PM ET,NO,0,0,0
RB,Adam Prentice (28792519),Adam Prentice,28792519,RB/FLEX,4000,TEN@NO 09/10/2023 01:00PM ET,NO,0.44,0,0
RB,Julius Chestnut (28792521),Julius Chestnut,28792521,RB/FLEX,4000,TEN@NO 09/10/2023 01:00PM ET,TEN,1.38,0.405,0.675
RB,Jonathan Ward (28792523),Jonathan Ward,28792523,RB/FLEX,4000,TEN@NO 09/10/2023 01:00PM ET,TEN,0.65,0,0
RB,Darrel Williams (29095812),Darrel Williams,29095812,RB/FLEX,4000,TEN@NO 09/10/2023 01:00PM ET,NO,3.52,0,0
RB,Jacques Patrick (29095814),Jacques Patrick,29095814,RB/FLEX,4000,TEN@NO 09/10/2023 01:00PM ET,TEN,0,0,0
QB,Brandon Allen (28792251),Brandon Allen,28792251,QB,4000,SF@PIT 09/10/2023 01:00PM ET,SF,0.78,0,0
QB,Mason Rudolph (28792252),Mason Rudolph,28792252,QB,4000,SF@PIT 09/10/2023 01:00PM ET,PIT,0,0,0
QB,Tanner Morgan (28792253),Tanner Morgan,28792253,QB,4000,SF@PIT 09/10/2023 01:00PM ET,PIT,0,0,0
RB,Tyrion Davis-Price (28792493),Tyrion Davis-Price,28792493,RB/FLEX,4000,SF@PIT 09/10/2023 01:00PM ET,SF,1.65,0.12,0.2
RB,Ronald Awatt (28792495),Ronald Awatt,28792495,RB/FLEX,4000,SF@PIT 09/10/2023 01:00PM ET,SF,0,0,0
RB,Khalan Laborn (28792497),Khalan Laborn,28792497,RB/FLEX,4000,SF@PIT 09/10/2023 01:00PM ET,SF,0,0,0
RB,Jack Colletto (28792499),Jack Colletto,28792499,RB/FLEX,4000,SF@PIT 09/10/2023 01:00PM ET,SF,0,0,0
